Source,Target,Weight
世界,感觉,13
世界,人生,6
世界,事情,7
世界,东西,7
世界,快乐,13
世界,痛苦,34
世界,地方,5
世界,活着,41
世界,离开,20
世界,想要,7
世界,朋友,9
世界,好像,12
世界,告诉,11
世界,妈妈,10
世界,喜欢,16
世界,开心,18
世界,不想,25
世界,对不起,8
世界,害怕,13
世界,不好,14
世界,生活,20
世界,我会,4
世界,希望,33
世界,绝望,17
世界,难过,11
世界,有人,7
世界,睡觉,4
世界,自杀,15
世界,饭饭,7
世界,伤心,15
世界,抑郁,7
世界,明天,6
世界,好好,20
世界,讨厌,11
世界,特别,4
世界,努力,10
世界,难受,8
世界,抑郁症,12
世界,越来越,6
活着,抑郁,12
活着,离开,20
活着,痛苦,75
活着,希望,48
活着,不想,42
活着,事情,20
活着,说话,6
活着,好像,16
活着,饭饭,5
活着,自杀,12
活着,生活,43
活着,世界,21
活着,不好,10
活着,感觉,23
活着,人生,17
活着,喜欢,12
活着,努力,23
活着,朋友,14
活着,东西,6
活着,地方,5
活着,情绪,6
活着,难过,15
活着,害怕,15
活着,伤心,10
活着,开心,21
活着,走饭,11
活着,妈妈,5
活着,我会,9
活着,越来越,6
活着,绝望,10
活着,想要,13
活着,快乐,13
活着,特别,5
活着,好好,37
活着,告诉,5
活着,难受,12
活着,明天,7
活着,对不起,9
饭饭,喜欢,30
饭饭,希望,27
饭饭,好好,11
饭饭,活着,37
饭饭,告诉,16
饭饭,我要,13
饭饭,不想,32
饭饭,快乐,30
饭饭,晚上,5
饭饭,害怕,26
饭饭,晚安,42
饭饭,生活,15
饭饭,睡觉,9
饭饭,说话,9
饭饭,明天,7
饭饭,我会,15
饭饭,事情,11
饭饭,东西,9
饭饭,有人,8
饭饭,特别,18
饭饭,难受,13
饭饭,感觉,21
饭饭,评论,7
饭饭,不好,15
饭饭,世界,16
饭饭,越来越,12
饭饭,情绪,7
饭饭,地方,10
饭饭,开心,24
饭饭,痛苦,16
饭饭,好像,15
饭饭,离开,16
饭饭,难过,31
饭饭,绝望,7
饭饭,抑郁,14
饭饭,朋友,14
饭饭,抑郁症,10
饭饭,讨厌,6
饭饭,睡不着,8
饭饭,努力,17
饭饭,自杀,11
饭饭,伤心,18
饭饭,发现,9
饭饭,人生,6
饭饭,想要,8
饭饭,走饭,6
饭饭,妈妈,5
喜欢,希望,30
喜欢,好好,20
喜欢,活着,23
喜欢,生活,29
喜欢,不想,36
喜欢,朋友,14
喜欢,离开,7
喜欢,世界,43
喜欢,妈妈,6
喜欢,感觉,26
喜欢,伤心,10
喜欢,难受,13
喜欢,痛苦,24
喜欢,害怕,46
喜欢,绝望,6
喜欢,告诉,10
喜欢,说话,15
喜欢,我要,11
喜欢,地方,18
喜欢,讨厌,23
喜欢,想要,12
喜欢,不好,4
喜欢,明天,6
喜欢,努力,8
喜欢,东西,19
喜欢,对不起,10
喜欢,开心,21
喜欢,人生,8
喜欢,事情,16
